Latitude,Longitude,Description,Label,Rooms,Year,Price,District,Date,USD_Price
55.783286,37.55858900000001,"2019-03-27: 11991000 | 12710460
г.москва,1-йботкинскийпр-д,д.6,2ком., пл. 62.2, кв. 95","12.710.460, 2019, 1",2,2019,12710460,САО,2019-03-27,198636.94198015702
55.816733,37.489634,"2017-04-07: 9368000 | 9368000
2017-01-21: 9368000 | Не продано
г.москва,1-йвойковскийпр.,д.16,кор.1,2ком., пл. 54.2, кв. 80","9.368.000, 2017, 2",2,2017,9368000,САО,2017-04-07,166057.19053843245
55.80185,37.492967,"2019-07-24: 6255000 | 6255000
г.москва,1-йволоколамскийпр.,д.8,кор.2,1ком., пл. 29.6, кв. 64","6.255.000, 2019, 1",1,2019,6255000,СЗАО,2019-07-24,99300.37327781867
55.751234,37.780688,"2017-06-21: 6822000 | 7367760
г.москва,1-явладимирскаяул.,д.35,кор.2,2ком., пл. 49.1, кв. 27","7.367.760, 2017, 1",2,2017,7367760,ВАО,2017-06-21,126114.70722488876
55.713207,37.795151,"2018-12-26: 6447000 | 8187690
г.москва,1-яновокузьминскаяул.,д.27/12,2ком., пл. 56.6, кв. 43","8.187.690, 2018, 1",2,2018,8187690,ЮВАО,2018-12-26,119334.0703857102
55.824728,37.620645,"2019-12-30: 6132000 | 7481040
г.москва,1-яостанкинскаяул.,д.19/1,1ком., пл. 31.2, кв. 25","7.481.040, 2019, 1",1,2019,7481040,СВАО,2019-12-30,120320.38339377136
55.792002,37.80523,"2019-02-20: 7720000 | 8569200
г.москва,11-япарковаяул.,д.9/35,3ком., пл. 51.6, кв. 240","8.569.200, 2019, 1",3,2019,8569200,ВАО,2019-02-20,129425.52940628787
55.80356999999999,37.812525,"2019-08-28: 5366000 | 5580640
г.москва,13-япарковаяул.,д.24/51,1ком., пл. 32.3, кв. 60","5.580.640, 2019, 1",1,2019,5580640,ВАО,2019-08-28,84437.19373687857
55.80429399999999,37.820547,"2017-11-29: 3787000 | 3787000
2017-09-13: 4694000 | Не продано
2017-07-26: 4694000 | Не продано
2017-05-31: 4694000 | Не продано
г.москва,15-япарковаяул.,д.36/63,кор.2,1ком., пл. 33.0, кв. 89","3.787.000, 2017, 4",1,2017,3787000,ВАО,2017-11-29,64806.38483740816
55.800362,37.828757,"2017-10-11: 3987000 | 3987000
2017-07-26: 4561000 | Не продано
2017-05-31: 4561000 | Не продано
2017-04-07: 4561000 | Не продано
г.москва,16-япарковаяул.,д.14,1ком., пл. 35.0, кв. 35","3.987.000, 2017, 4",1,2017,3987000,ВАО,2017-10-11,68466.68583425487
