Latitude,Longitude,Description,Label,Placemark number
55.811639,37.535592,"<div>2020-01-29: 7901000 | Не продано</div><p>г.москва,1-йамбулаторныйпр.,д.2,2ком., пл. 34.5, кв. 13</p>","Не продано, 2020, 1",2
55.783286,37.558589,"<div>2019-03-27: 11991000 | 12710460</div><p>г.москва,1-йботкинскийпр-д,д.6,2ком., пл. 62.2, кв. 95</p>","12.710.460, 2019, 1",2
55.816733,37.489634,"<div>2017-04-07: 9368000 | 9368000</div><div>2017-01-21: 9368000 | Не продано</div><p>г.москва,1-йвойковскийпр.,д.16,кор.1,2ком., пл. 54.2, кв. 80</p>","9.368.000, 2017, 2",2
55.80185,37.492967,"<div>2019-07-24: 6255000 | 6255000</div><p>г.москва,1-йволоколамскийпр.,д.8,кор.2,1ком., пл. 29.6, кв. 64</p>","6.255.000, 2019, 1",1
55.751234,37.780688,"<div>2017-06-21: 6822000 | 7367760</div><p>г.москва,1-явладимирскаяул.,д.35,кор.2,2ком., пл. 49.1, кв. 27</p>","7.367.760, 2017, 1",2
55.713207,37.795151,"<div>2018-12-26: 6447000 | 8187690</div><p>г.москва,1-яновокузьминскаяул.,д.27/12,2ком., пл. 56.6, кв. 43</p>","8.187.690, 2018, 1",2
55.824728,37.620645,"<div>2019-12-30: 6132000 | 7481040</div><p>г.москва,1-яостанкинскаяул.,д.19/1,1ком., пл. 31.2, кв. 25</p>","7.481.040, 2019, 1",1
55.772578,37.591027,"<div>2018-12-26: 9066000 | Не продано</div><div>2018-10-10: 9066000 | Не продано</div><div>2017-06-07: 15297000 | Не продано</div><div>2017-04-20: 15297000 | Не продано</div><p>г.москва,1-ятверская-ямскаяул.,д.11,5ком., пл. 108.6, кв. 108,смежныекомнаты1,2жилойплощадью39,2</p>","Не продано, 2018, 4",5
55.772578,37.591027,"<div>2019-05-29: 8900000 | 8900000</div><div>2019-03-27: 8900000 | Не продано</div><p>г.москва,1-ятверская-ямскаяул.,д.11,5ком., пл. 39.2, кв. 108,смежныекомнаты1,2жилойплощадью39,2</p>","8.900.000, 2019, 2",5
55.792002,37.80523,"<div>2019-02-20: 7720000 | 8569200</div><p>г.москва,11-япарковаяул.,д.9/35,3ком., пл. 51.6, кв. 240</p>","8.569.200, 2019, 1",3
55.80357,37.812525,"<div>2019-08-28: 5366000 | 5580640</div><p>г.москва,13-япарковаяул.,д.24/51,1ком., пл. 32.3, кв. 60</p>","5.580.640, 2019, 1",1
55.804294,37.820547,"<div>2017-11-29: 3787000 | 3787000</div><div>2017-09-13: 4694000 | Не продано</div><div>2017-07-26: 4694000 | Не продано</div><div>2017-05-31: 4694000 | Не продано</div><p>г.москва,15-япарковаяул.,д.36/63,кор.2,1ком., пл. 33.0, кв. 89</p>","3.787.000, 2017, 4",1
55.800362,37.828757,"<div>2017-10-11: 3987000 | 3987000</div><div>2017-07-26: 4561000 | Не продано</div><div>2017-05-31: 4561000 | Не продано</div><div>2017-04-07: 4561000 | Не продано</div><p>г.москва,16-япарковаяул.,д.14,1ком., пл. 35.0, кв. 35</p>","3.987.000, 2017, 4",1
55.79973,37.823493,"<div>2018-02-21: 4034000 | 4034000</div><div>2017-11-08: 4353000 | Не продано</div><div>2017-09-13: 4353000 | Не продано</div><p>г.москва,16-япарковаяул.,д.19,кор.3,1ком., пл. 34.4, кв. 50</p>","4.034.000, 2018, 3",1
55.790681,37.823915,"<div>2017-01-21: 4820000 | 4820000</div><p>г.москва,16-япарковаяул.,д.2,2ком., пл. 43.2, кв. 57</p>","4.820.000, 2017, 1",2
55.728327,37.520752,"<div>2019-01-23: 5797000 | 6608580</div><p>г.москва,2-ймосфильмовскийпер.,д.21,1ком., пл. 27.7, кв. 110</p>","6.608.580, 2019, 1",1
55.779692,37.668704,"<div>2018-12-26: 12050000 | 12050000</div><p>г.москва,2-йновыйпер.,д.4,2ком., пл. 55.2, кв. 33</p>","12.050.000, 2018, 1",2
55.712558,37.741172,"<div>2017-05-17: 7149000 | 7149000</div><div>2017-03-17: 7149000 | Не продано</div><div>2017-01-21: 7149000 | Не продано</div><p>г.москва,2-йсаратовскийпр.,д.5,3ком., пл. 57.2, кв. 20</p>","7.149.000, 2017, 3",3
55.795393,37.575432,"<div>2017-12-20: 4939000 | 4939000</div><p>г.москва,2-яквесисскаяул.,д.18,1ком., пл. 30.8, кв. 72</p>","4.939.000, 2017, 1",1
55.790934,37.724975,"<div>2017-08-09: 5150000 | 5150000</div><p>г.москва,2-япугачевскаяул.,д.14,кор.4,2ком., пл. 38.7, кв. 39</p>","5.150.000, 2017, 1",2
55.790934,37.724975,"<div>2017-04-20: 5670000 | 5670000</div><div>2017-03-03: 5670000 | Не продано</div><p>г.москва,2-япугачевскаяул.,д.14,кор.4,2ком., пл. 39.5, кв. 39</p>","5.670.000, 2017, 2",2
55.793207,37.723529,"<div>2019-04-24: 7322000 | 7322000</div><div>2019-02-20: 7322000 | Не продано</div><p>г.москва,2-япугачевскаяул.,д.8,кор.5,2ком., пл. 44.4, кв. 114</p>","7.322.000, 2019, 2",2
55.724692,37.581766,"<div>2019-10-30: 10844000 | 10952440</div><p>г.москва,2-яфрунзенскаяул.,д.10,кор.2,1ком., пл. 34.9, кв. 77</p>","10.952.440, 2019, 1",1
55.810835,37.52669,"<div>2017-03-03: 4173000 | 4632030</div><p>г.москва,3-йбалтийскийпер.,д.4,кор.3,1ком., пл. 29.3, кв. 22</p>","4.632.030, 2017, 1",1
55.8169,37.694639,"<div>2019-09-25: 6208000 | 7077120</div><p>г.москва,3-ябогатырскаяул.,дом3,1ком., пл. 38.4, кв. 18</p>","7.077.120, 2019, 1",1
55.753215,37.790426,"<div>2017-09-13: 5866000 | 5866000</div><p>г.москва,3-явладимирскаяул.,д.32/31,2ком., пл. 45.2, кв. 124</p>","5.866.000, 2017, 1",2
55.841534,37.542958,"<div>2017-10-25: 4326000 | 4326000</div><div>2017-08-30: 4326000 | Не продано</div><div>2017-06-21: 4507000 | Не продано</div><div>2017-04-20: 4507000 | Не продано</div><div>2017-03-03: 4507000 | Не продано</div><p>г.москва,4-йновомихалковскийпр.,д.7а,1ком., пл. 31.6, кв. 76</p>","4.326.000, 2017, 5",1
55.794209,37.624418,"<div>2019-08-28: 8516000 | 9623080</div><p>г.москва,4-ямарьинойрощиул.,д.4,2ком., пл. 51.7, кв. 147</p>","9.623.080, 2019, 1",2
55.731815,37.630122,"<div>2018-06-20: 7131000 | 9198990</div><p>г.москва,5-ймонетчиковскийпер.,д.13,1ком., пл. 34.9, кв. 22</p>","9.198.990, 2018, 1",1
55.804759,37.787237,"<div>2017-01-21: 4093000 | 4093000</div><p>г.москва,5-япарковаяул.,д.47,кор.1,1ком., пл. 31.2, кв. 5</p>","4.093.000, 2017, 1",1
55.795454,37.793337,"<div>2019-07-24: 6032000 | 6032000</div><div>2019-05-29: 6032000 | Не продано</div><p>г.москва,7-япарковаяул.,д.7,1ком., пл. 35.1, кв. 77</p>","6.032.000, 2019, 2",1
55.704519,37.74322,"<div>2017-04-07: 4876000 | 4876000</div><div>2017-01-21: 5473000 | Не продано</div><p>г.москва,8-ятекстильщиковул.,д.7а,1ком., пл. 36.8, кв. 5</p>","4.876.000, 2017, 2",1
55.801986,37.801251,"<div>2017-11-08: 3914000 | 3914000</div><p>г.москва,9-япарковаяул.,д.54,кор.2,1ком., пл. 30.6, кв. 17</p>","3.914.000, 2017, 1",1
55.773464,37.737003,"<div>2017-08-23: 6001000 | 6001000</div><p>г.москва,9-яул.соколинойгоры,д.19,2ком., пл. 45.3, кв. 21</p>","6.001.000, 2017, 1",2
55.773464,37.737003,"<div>2017-06-07: 6930000 | Не продано</div><div>2017-04-20: 6930000 | Не продано</div><p>г.москва,9-яул.соколинойгоры,д.19,2ком., пл. 46.0, кв. 21</p>","Не продано, 2017, 2",2
55.894879,37.573052,"<div>2018-10-10: 4917000 | 5212020</div><p>г.москва,абрамцевскаяул.,д.3,1ком., пл. 32.5, кв. 45</p>","5.212.020, 2018, 1",1
55.848993,37.488359,"<div>2018-02-21: 7350000 | 7350000</div><div>2017-11-08: 8648000 | Не продано</div><div>2017-09-13: 8648000 | Не продано</div><p>г.москва,авангарднаяул.,д.15,2ком., пл. 52.5, кв. 18</p>","7.350.000, 2018, 3",2
55.544255,37.52324,"<div>2018-01-24: 1865000 | 2536400</div><p>г.москва,адмиралалазареваул.,д.40,2ком., пл. 33.47, кв. 87,2/3доли</p>","2.536.400, 2018, 1",2
55.544255,37.52324,"<div>2017-10-25: 2420000 | Не продано</div><div>2017-08-23: 2420000 | Не продано</div><div>2017-06-07: 3221000 | Не продано</div><div>2017-04-20: 3221000 | Не продано</div><div>2017-03-03: 3221000 | Не продано</div><p>г.москва,адмиралалазареваул.,д.40,2ком., пл. 50.2, кв. 87,2/3доли</p>","Не продано, 2017, 5",2
55.639629,37.510844,"<div>2017-11-29: 4481000 | 4481000</div><div>2017-09-20: 4917000 | Не продано</div><div>2017-07-26: 4917000 | Не продано</div><div>2017-05-31: 4917000 | Не продано</div><p>г.москва,академикаарцимовичаул.,д.20,1ком., пл. 33.0, кв. 50</p>","4.481.000, 2017, 4",1
55.711508,37.793687,"<div>2017-05-17: 5490000 | 5929200</div><div>2017-02-17: 5635000 | Не продано</div><p>г.москва,академикаскрябинаул.,д.16,кор.2,2ком., пл. 44.5, кв. 92</p>","5.929.200, 2017, 2",2
55.802771,37.510709,"<div>2019-12-30: 6966000 | 7732260</div><p>г.москва,алабянаул.,д.3,кор.3,1ком., пл. 29.7, кв. 205</p>","7.732.260, 2019, 1",1
55.802771,37.510709,"<div>2018-08-22: 5495000 | 5989550</div><div>2018-06-20: 5495000 | Не продано</div><p>г.москва,алабянаул.,д.3,кор.3,1ком., пл. 29.9, кв. 280</p>","5.989.550, 2018, 2",1
55.802771,37.510709,"<div>2017-09-20: 7404000 | 8218440</div><div>2017-07-12: 8589000 | Не продано</div><div>2017-05-17: 8589000 | Не продано</div><p>г.москва,алабянаул.,д.3,кор.3,2ком., пл. 43.0, кв. 278</p>","8.218.440, 2017, 3",2
55.902727,37.589123,"<div>2018-06-20: 4914000 | 5405400</div><p>г.москва,алтуфьевскоешоссе,д.96,1ком., пл. 38.0, кв. 183</p>","5.405.400, 2018, 1",1
55.853001,37.657206,"<div>2017-08-09: 3981000 | 5294730</div><p>г.москва,амундсенаул.,д.10,1ком., пл. 32.5, кв. 8</p>","5.294.730, 2017, 1",1
55.88044,37.707916,"<div>2018-06-20: 4578000 | 5585160</div><div>2018-03-14: 5078000 | Не продано</div><div>2017-12-20: 5078000 | Не продано</div><div>2017-10-11: 5800000 | Не продано</div><div>2017-08-09: 5800000 | Не продано</div><p>г.москва,анадырскийпроезд,д.63,2ком., пл. 44.7, кв. 303</p>","5.585.160, 2018, 5",2
55.802209,37.609757,"<div>2017-06-07: 2036000 | 2036000</div><div>2017-04-20: 2036000 | Не продано</div><p>г.москва,анненскаяул.,д.4,2ком., пл. 43.5, кв. 65,1/2доля</p>","2.036.000, 2017, 2",2
55.749689,37.592959,"<div>2020-02-26: 24708000 | Аукцион</div><div>2019-12-30: 24708000 | Не продано</div><p>г.москва,арбатул.,д.31,2ком., пл. 64.6, кв. 11</p>","Аукцион, 2020, 2",2
55.667818,37.545662,"<div>2018-09-26: 7587000 | 7587000</div><p>г.москва,архитекторавласоваул.,д.41,2ком., пл. 44.0, кв. 194</p>","7.587.000, 2018, 1",2
55.808776,37.634065,"<div>2017-04-07: 6714000 | 6714000</div><div>2017-01-21: 6915000 | Не продано</div><p>г.москва,б.марьинскаяул.,д.19,2ком., пл. 37.0, кв. 43</p>","6.714.000, 2017, 2",2
55.818255,37.795493,"<div>2017-11-29: 5255000 | Не продано</div><div>2017-10-11: 5255000 | Не продано</div><p>г.москва,байкальскаяул.,д.17,кор.3,2ком., пл. 42.2, кв. 106</p>","Не продано, 2017, 2",2
55.775368,37.68624,"<div>2017-04-07: 5438000 | 5438000</div><div>2017-01-21: 5438000 | Не продано</div><p>г.москва,бакунинскаяул.,д.32-36,кор.1,1ком., пл. 26.2, кв. 27</p>","5.438.000, 2017, 2",1
55.640421,37.61026,"<div>2017-08-30: 5641000 | 6205100</div><p>г.москва,балаклавскийпросп.,д.5,1ком., пл. 38.3, кв. 118</p>","6.205.100, 2017, 1",1
55.771479,37.660215,"<div>2019-10-30: 17725000 | 17725000</div><p>г.москва,басманныйпер.,д.9,2ком., пл. 70.1, кв. 40</p>","17.725.000, 2019, 1",2
55.642728,37.713036,"<div>2019-12-30: 6959000 | 7098180</div><div>2019-09-25: 7347000 | Не продано</div><div>2019-07-24: 7347000 | Не продано</div><p>г.москва,батайскийпр.,д.5,2ком., пл. 51.0, кв. 213</p>","7.098.180, 2019, 3",2
